time_day,TCE_zone1_mid_mg_L,TCE_zone2_mid_mg_L,TCE_PRB_inlet_mg_L,cDCE_PRB_inlet_mg_L,VC_PRB_inlet_mg_L,TCE_PRB_mid_mg_L,cDCE_PRB_mid_mg_L,VC_PRB_mid_mg_L,source_mass_mg,source_active,pore_velocity_m_day
14.75,24.7566871392474,0,0,0,0,0,0,0,926678921.687138,1,0.147631578947368
14.8,24.806421628449,0,0,0,0,0,0,0,926431687.886716,1,0.147631578947368
14.85,24.8561541780055,0,0,0,0,0,0,0,926184462.716954,1,0.147631578947368
14.9,24.9058847879925,0,0,0,0,0,0,0,925937246.175484,1,0.147631578947368
14.95,24.9556134584858,0,0,0,0,0,0,0,925690038.259938,1,0.147631578947368
15,25.0053401895609,0,0,0,0,0,0,0,925442838.967947,1,0.147631578947368
15.05,25.0550649812935,0,0,0,0,0,0,0,925195648.297145,1,0.147631578947368
15.1,25.1047878337592,0,0,0,0,0,0,0,924948466.245163,1,0.147631578947368
15.15,25.1545087470337,0,0,0,0,0,0,0,924701292.809633,1,0.147631578947368
15.2,25.2042277211926,0,0,0,0,0,0,0,924454127.988189,1,0.147631578947368
15.25,25.2539447563115,0,0,0,0,0,0,0,924206971.778462,1,0.147631578947368
15.3,25.303659852466,0,0,0,0,0,0,0,923959824.178086,1,0.147631578947368
15.35,25.3533730097317,0,0,0,0,0,0,0,923712685.184694,1,0.147631578947368
15.4,25.4030842281843,0,0,0,0,0,0,0,923465554.79592,1,0.147631578947368
15.45,25.4527935078994,0,0,0,0,0,0,0,923218433.009396,1,0.147631578947368
15.5,25.5025008489526,0,0,0,0,0,0,0,922971319.822757,1,0.147631578947368
15.55,25.5522062514195,0,0,0,0,0,0,0,922724215.233635,1,0.147631578947368
15.6,25.6019097153757,0,0,0,0,0,0,0,922477119.239666,1,0.147631578947368
15.65,25.6516112408968,0,0,0,0,0,0,0,922230031.838483,1,0.147631578947368
15.7,25.7013108280584,0,0,0,0,0,0,0,921982953.027721,1,0.147631578947368
15.75,25.7510084769361,0,0,0,0,0,0,0,921735882.805014,1,0.147631578947368
