time_day,TCE_zone1_x17_5_mg_L,TCE_zone2_x2_mg_L,cDCE_zone2_x2_mg_L,VC_zone2_x2_mg_L,TCE_zone2_x15_mg_L,cDCE_zone2_x15_mg_L,VC_zone2_x15_mg_L,TCE_zone2_x28_mg_L,cDCE_zone2_x28_mg_L,VC_zone2_x28_mg_L,source_mass_mg,source_active
3.96,13.9784510651018,0,0,0,0,0,0,0,0,0,980238053.662312,1
3.99,14.0085439693469,0,0,0,0,0,0,0,0,0,980088562.443485,1
4.02,14.038636169418,0,0,0,0,0,0,0,0,0,979939074.517146,1
4.05,14.0687276653316,0,0,0,0,0,0,0,0,0,979789589.882776,1
4.08,14.0988184571043,0,0,0,0,0,0,0,0,0,979640108.539855,1
4.11,14.1289085447524,0,0,0,0,0,0,0,0,0,979490630.487864,1
4.14,14.1589979282924,0,0,0,0,0,0,0,0,0,979341155.726283,1
4.17,14.1890866077409,0,0,0,0,0,0,0,0,0,979191684.254592,1
4.2,14.2191745831143,0,0,0,0,0,0,0,0,0,979042216.072272,1
4.23,14.249261854429,0,0,0,0,0,0,0,0,0,978892751.178803,1
4.26,14.2793484217016,0,0,0,0,0,0,0,0,0,978743289.573666,1
4.29,14.3094342849486,0,0,0,0,0,0,0,0,0,978593831.256342,1
4.32,14.3395194441863,0,0,0,0,0,0,0,0,0,978444376.22631,1
4.35,14.3696038994313,0,0,0,0,0,0,0,0,0,978294924.483052,1
4.38,14.3996876507001,0,0,0,0,0,0,0,0,0,978145476.026049,1
4.41,14.429770698009,0,0,0,0,0,0,0,0,0,977996030.85478,1
4.44,14.4598530413747,0,0,0,0,0,0,0,0,0,977846588.968727,1
4.47,14.4899346808135,0,0,0,0,0,0,0,0,0,977697150.367371,1
4.5,14.520015616342,0,0,0,0,0,0,0,0,0,977547715.050191,1
4.53,14.5500958479766,0,0,0,0,0,0,0,0,0,977398283.016669,1
4.56,14.5801753757338,0,0,0,0,0,0,0,0,0,977248854.266285,1
4.59,14.61025419963,0,0,0,0,0,0,0,0,0,977099428.798521,1
4.62,14.6403323196817,0,0,0,0,0,0,0,0,0,976950006.612856,1
4.65,14.6704097359054,0,0,0,0,0,0,0,0,0,976800587.708773,1
4.68,14.7004864483176,0,0,0,0,0,0,0,0,0,976651172.085751,1
4.71,14.7305624569347,0,0,0,0,0,0,0,0,0,976501759.743271,1
4.74,14.7606377617732,0,0,0,0,0,0,0,0,0,976352350.680815,1
4.77,14.7907123628496,0,0,0,0,0,0,0,0,0,976202944.897864,1
4.8,14.8207862601803,0,0,0,0,0,0,0,0,0,976053542.393897,1
4.83,14.8508594537818,0,0,0,0,0,0,0,0,0,975904143.168397,1
